"NutsID","year","area","permanent_crop_ID","crop_name","region_name","region_level"
"16",2009,77895,51447,Olive plantations,Centro,NUTS2
"16",2019,78956,51448,Olive plantations,Centro,NUTS2
"16",1989,96180,51449,Vineyards,Centro,NUTS2
"16",1999,70832,51450,Vineyards,Centro,NUTS2
"16",2009,48452,51451,Vineyards,Centro,NUTS2
"16",2019,42234,51452,Vineyards,Centro,NUTS2
"16",1989,1459,51453,Other permanent crops,Centro,NUTS2
"16",1999,1419,51454,Other permanent crops,Centro,NUTS2
"16",2009,1148,51455,Other permanent crops,Centro,NUTS2
"16",2019,1453,51456,Other permanent crops,Centro,NUTS2
"17",1989,23694,86017,Total,Área Metropolitana de Lisboa,NUTS2
"17",1999,14732,86018,Total,Área Metropolitana de Lisboa,NUTS2
"17",2009,14060,86019,Total,Área Metropolitana de Lisboa,NUTS2
"17",2019,16428,86020,Total,Área Metropolitana de Lisboa,NUTS2
"17",1989,5054,86021,Fresh fruit plantations (excluding citrus plantations),Área Metropolitana de Lisboa,NUTS2
"17",1999,2151,86022,Fresh fruit plantations (excluding citrus plantations),Área Metropolitana de Lisboa,NUTS2
"17",2009,1270,86023,Fresh fruit plantations (excluding citrus plantations),Área Metropolitana de Lisboa,NUTS2
"17",2019,1443,86024,Fresh fruit plantations (excluding citrus plantations),Área Metropolitana de Lisboa,NUTS2
"17",1989,1951,86025,Citrus plantations,Área Metropolitana de Lisboa,NUTS2
"17",1999,1064,86026,Citrus plantations,Área Metropolitana de Lisboa,NUTS2
"17",2009,632,86027,Citrus plantations,Área Metropolitana de Lisboa,NUTS2
"17",2019,639,86028,Citrus plantations,Área Metropolitana de Lisboa,NUTS2
"17",1989,14,86029,Fruit plantations (subtropical climate zones),Área Metropolitana de Lisboa,NUTS2
"17",1999,2,86030,Fruit plantations (subtropical climate zones),Área Metropolitana de Lisboa,NUTS2
"17",2009,1,86031,Fruit plantations (subtropical climate zones),Área Metropolitana de Lisboa,NUTS2
"17",2019,177,86032,Fruit plantations (subtropical climate zones),Área Metropolitana de Lisboa,NUTS2
"17",1989,114,86033,Nuts plantations,Área Metropolitana de Lisboa,NUTS2
"17",1999,139,86034,Nuts plantations,Área Metropolitana de Lisboa,NUTS2
"17",2009,1695,86035,Nuts plantations,Área Metropolitana de Lisboa,NUTS2
"17",2019,4152,86036,Nuts plantations,Área Metropolitana de Lisboa,NUTS2
"17",1989,1126,86037,Olive plantations,Área Metropolitana de Lisboa,NUTS2
