"NutsID","region_name","NUTS_level","e.year","e.value","el.education_level"
"1111601","Arcos de Valdevez","4","2019","4512","Total"
"1111602","Caminha","4","2019","968","Total"
"1111603","Melgaço","4","2019","2360","Total"
"1111604","Monção","4","2019","4341","Total"
"1111605","Paredes de Coura","4","2019","1995","Total"
"1111606","Ponte da Barca","4","2019","2136","Total"
"1111607","Ponte de Lima","4","2019","6838","Total"
"1111608","Valença","4","2019","1154","Total"
"1111609","Viana do Castelo","4","2019","3910","Total"
"1111610","Vila Nova de Cerveira","4","2019","592","Total"
"1120301","Amares","4","2019","1943","Total"
"1120302","Barcelos","4","2019","6019","Total"
"1120303","Braga","4","2019","3747","Total"
"1120306","Esposende","4","2019","2197","Total"
"1120310","Terras de Bouro","4","2019","1760","Total"
"1120313","Vila Verde","4","2019","4441","Total"
"1190304","Cabeceiras de Basto","4","2019","2430","Total"
"1190307","Fafe","4","2019","2564","Total"
"1190308","Guimarães","4","2019","3617","Total"
"1190309","Póvoa de Lanhoso","4","2019","2395","Total"
"1190311","Vieira do Minho","4","2019","2096","Total"
"1190312","Vila Nova de Famalicão","4","2019","2596","Total"
"1190314","Vizela","4","2019","388","Total"
"1191705","Mondim de Basto","4","2019","1392","Total"
"11A0104","Arouca","4","2019","2424","Total"
"11A0107","Espinho","4","2019","56","Total"
"11A0109","Santa Maria da Feira","4","2019","1489","Total"
"11A0113","Oliveira de Azeméis","4","2019","1414","Total"
"11A0116","São João da Madeira","4","2019","24","Total"
"11A0119","Vale de Cambra","4","2019","1385","Total"
"11A1304","Gondomar","4","2019","1090","Total"
"11A1306","Maia","4","2019","633","Total"
"11A1308","Matosinhos","4","2019","328","Total"
"11A1310","Paredes","4","2019","2247","Total"
"11A1312","Porto","4","2019","29","Total"
"11A1313","Póvoa de Varzim","4","2019","1989","Total"
"11A1314","Santo Tirso","4","2019","1659","Total"
"11A1315","Valongo","4","2019","440","Total"
"11A1316","Vila do Conde","4","2019","1505","Total"
"11A1317","Vila Nova de Gaia","4","2019","1144","Total"
"11A1318","Trofa","4","2019","461","Total"
"11B1702","Boticas","4","2019","2425","Total"
"11B1703","Chaves","4","2019","9057","Total"
"11B1706","Montalegre","4","2019","5673","Total"
"11B1709","Ribeira de Pena","4","2019","1601","Total"
"11B1712","Valpaços","4","2019","10151","Total"
"11B1713","Vila Pouca de Aguiar","4","2019","3983","Total"
"11C0106","Castelo de Paiva","4","2019","1269","Total"
"11C0305","Celorico de Basto","4","2019","3196","Total"
"11C1301","Amarante","4","2019","3938","Total"
"11C1302","Baião","4","2019","2606","Total"
"11C1303","Felgueiras","4","2019","2948","Total"
"11C1305","Lousada","4","2019","1705","Total"
"11C1307","Marco de Canaveses","4","2019","2203","Total"
"11C1309","Paços de Ferreira","4","2019","867","Total"
"11C1311","Penafiel","4","2019","2987","Total"
"11C1804","Cinfães","4","2019","3289","Total"
"11C1813","Resende","4","2019","3084","Total"
"11D0403","Carrazeda de Ansiães","4","2019","2858","Total"
"11D0404","Freixo de Espada à Cinta","4","2019","2036","Total"
"11D0409","Torre de Moncorvo","4","2019","3748","Total"
"11D0914","Vila Nova de Foz Côa","4","2019","3308","Total"
"11D1701","Alijó","4","2019","5214","Total"
"11D1704","Mesão Frio","4","2019","1329","Total"
"11D1707","Murça","4","2019","2807","Total"
"11D1708","Peso da Régua","4","2019","3166","Total"
"11D1710","Sabrosa","4","2019","2541","Total"
"11D1711","Santa Marta de Penaguião","4","2019","3034","Total"
"11D1714","Vila Real","4","2019","6230","Total"
"11D1801","Armamar","4","2019","2547","Total"
"11D1805","Lamego","4","2019","4157","Total"
"11D1807","Moimenta da Beira","4","2019","2046","Total"
"11D1812","Penedono","4","2019","1475","Total"
"11D1815","São João da Pesqueira","4","2019","4075","Total"
"11D1818","Sernancelhe","4","2019","1883","Total"
"11D1819","Tabuaço","4","2019","2499","Total"
"11D1820","Tarouca","4","2019","1699","Total"
"11E0401","Alfândega da Fé","4","2019","3456","Total"
"11E0402","Bragança","4","2019","10517","Total"
"11E0405","Macedo de Cavaleiros","4","2019","8184","Total"
"11E0406","Miranda do Douro","4","2019","4073","Total"
"11E0407","Mirandela","4","2019","9117","Total"
"11E0408","Mogadouro","4","2019","6867","Total"
"11E0410","Vila Flor","4","2019","3412","Total"
"11E0411","Vimioso","4","2019","4154","Total"
"11E0412","Vinhais","4","2019","5596","Total"
"1500801","Albufeira","4","2019","1715","Total"
"1500802","Alcoutim","4","2019","1998","Total"
"1500803","Aljezur","4","2019","705","Total"
"1500804","Castro Marim","4","2019","1299","Total"
"1500805","Faro","4","2019","2479","Total"
"1500806","Lagoa","4","2019","462","Total"
"1500807","Lagos","4","2019","887","Total"
"1500808","Loulé","4","2019","5925","Total"
"1500809","Monchique","4","2019","706","Total"
"1500810","Olhão","4","2019","1312","Total"
"1500811","Portimão","4","2019","641","Total"
"1500812","São Brás de Alportel","4","2019","1184","Total"
"1500813","Silves","4","2019","4136","Total"
"1500814","Tavira","4","2019","3314","Total"
"1500815","Vila do Bispo","4","2019","334","Total"
"1500816","Vila Real de Santo António","4","2019","425","Total"
"16B1001","Alcobaça","4","2019","4135","Total"
"16B1005","Bombarral","4","2019","1498","Total"
"16B1006","Caldas da Rainha","4","2019","3449","Total"
"16B1011","Nazaré","4","2019","439","Total"
"16B1012","Óbidos","4","2019","1427","Total"
"16B1014","Peniche","4","2019","1038","Total"
"16B1101","Alenquer","4","2019","2726","Total"
"16B1102","Arruda dos Vinhos","4","2019","753","Total"
"16B1104","Cadaval","4","2019","2101","Total"
"16B1108","Lourinhã","4","2019","2718","Total"
"16B1112","Sobral de Monte Agraço","4","2019","869","Total"
"16B1113","Torres Vedras","4","2019","5842","Total"
"16D0101","Águeda","4","2019","2350","Total"
"16D0102","Albergaria-a-Velha","4","2019","1658","Total"
"16D0103","Anadia","4","2019","3001","Total"
"16D0105","Aveiro","4","2019","1687","Total"
"16D0108","Estarreja","4","2019","1676","Total"
"16D0110","Ílhavo","4","2019","227","Total"
"16D0112","Murtosa","4","2019","401","Total"
"16D0114","Oliveira do Bairro","4","2019","1982","Total"
"16D0115","Ovar","4","2019","1212","Total"
"16D0117","Sever do Vouga","4","2019","1287","Total"
"16D0118","Vagos","4","2019","1834","Total"
"16E0111","Mealhada","4","2019","1695","Total"
"16E0601","Arganil","4","2019","884","Total"
"16E0602","Cantanhede","4","2019","4546","Total"
"16E0603","Coimbra","4","2019","4733","Total"
"16E0604","Condeixa-a-Nova","4","2019","1903","Total"
"16E0605","Figueira da Foz","4","2019","2404","Total"
"16E0606","Góis","4","2019","274","Total"
"16E0607","Lousã","4","2019","878","Total"
"16E0608","Mira","4","2019","381","Total"
"16E0609","Miranda do Corvo","4","2019","1322","Total"
"16E0610","Montemor-o-Velho","4","2019","3824","Total"
"16E0611","Oliveira do Hospital","4","2019","1805","Total"
"16E0612","Pampilhosa da Serra","4","2019","638","Total"
"16E0613","Penacova","4","2019","1797","Total"
"16E0614","Penela","4","2019","1579","Total"
"16E0615","Soure","4","2019","3133","Total"
"16E0616","Tábua","4","2019","1761","Total"
"16E0617","Vila Nova de Poiares","4","2019","679","Total"
"16E1808","Mortágua","4","2019","999","Total"
"16F1002","Alvaiázere","4","2019","1628","Total"
"16F1003","Ansião","4","2019","2373","Total"
"16F1004","Batalha","4","2019","871","Total"
"16F1007","Castanheira de Pêra","4","2019","193","Total"
"16F1008","Figueiró dos Vinhos","4","2019","731","Total"
"16F1009","Leiria","4","2019","4871","Total"
"16F1010","Marinha Grande","4","2019","243","Total"
"16F1013","Pedrógão Grande","4","2019","830","Total"
"16F1015","Pombal","4","2019","4846","Total"
"16F1016","Porto de Mós","4","2019","2496","Total"
"16G0901","Aguiar da Beira","4","2019","2056","Total"
"16G1802","Carregal do Sal","4","2019","826","Total"
"16G1803","Castro Daire","4","2019","3458","Total"
"16G1806","Mangualde","4","2019","3309","Total"
"16G1809","Nelas","4","2019","1640","Total"
"16G1810","Oliveira de Frades","4","2019","1613","Total"
"16G1811","Penalva do Castelo","4","2019","2222","Total"
"16G1814","Santa Comba Dão","4","2019","926","Total"
"16G1816","São Pedro do Sul","4","2019","3114","Total"
"16G1817","Sátão","4","2019","2549","Total"
"16G1821","Tondela","4","2019","3964","Total"
"16G1822","Vila Nova de Paiva","4","2019","878","Total"
"16G1823","Viseu","4","2019","6653","Total"
"16G1824","Vouzela","4","2019","1989","Total"
"16H0502","Castelo Branco","4","2019","7435","Total"
"16H0505","Idanha-a-Nova","4","2019","2958","Total"
"16H0506","Oleiros","4","2019","1606","Total"
"16H0507","Penamacor","4","2019","2462","Total"
"16H0508","Proença-a-Nova","4","2019","3031","Total"
"16H0511","Vila Velha de Ródão","4","2019","1560","Total"
"16I0509","Sertã","4","2019","3419","Total"
"16I0510","Vila de Rei","4","2019","620","Total"
"16I1401","Abrantes","4","2019","2433","Total"
"16I1402","Alcanena","4","2019","1322","Total"
"16I1408","Constância","4","2019","175","Total"
"16I1410","Entroncamento","4","2019","86","Total"
"16I1411","Ferreira do Zêzere","4","2019","1732","Total"
"16I1413","Mação","4","2019","1872","Total"
"16I1417","Sardoal","4","2019","595","Total"
"16I1418","Tomar","4","2019","3704","Total"
"16I1419","Torres Novas","4","2019","4113","Total"
"16I1420","Vila Nova da Barquinha","4","2019","184","Total"
"16I1421","Ourém","4","2019","4447","Total"
"16J0501","Belmonte","4","2019","1325","Total"
"16J0503","Covilhã","4","2019","3518","Total"
"16J0504","Fundão","4","2019","7320","Total"
"16J0902","Almeida","4","2019","2182","Total"
"16J0903","Celorico da Beira","4","2019","1877","Total"
"16J0904","Figueira de Castelo Rodrigo","4","2019","3213","Total"
"16J0905","Fornos de Algodres","4","2019","1457","Total"
"16J0906","Gouveia","4","2019","2531","Total"
"16J0907","Guarda","4","2019","5256","Total"
"16J0908","Manteigas","4","2019","179","Total"
"16J0909","Mêda","4","2019","3171","Total"
"16J0910","Pinhel","4","2019","5487","Total"
"16J0911","Sabugal","4","2019","3252","Total"
"16J0912","Seia","4","2019","2849","Total"
"16J0913","Trancoso","4","2019","3781","Total"
"1701105","Cascais","4","2019","73","Total"
"1701106","Lisboa","4","2019","15","Total"
"1701107","Loures","4","2019","901","Total"
"1701109","Mafra","4","2019","3625","Total"
"1701110","Oeiras","4","2019","29","Total"
"1701111","Sintra","4","2019","1341","Total"
"1701114","Vila Franca de Xira","4","2019","675","Total"
"1701115","Amadora","4","2019","34","Total"
"1701116","Odivelas","4","2019","72","Total"
"1701502","Alcochete","4","2019","187","Total"
"1701503","Almada","4","2019","205","Total"
"1701504","Barreiro","4","2019","94","Total"
"1701506","Moita","4","2019","345","Total"
"1701507","Montijo","4","2019","1219","Total"
"1701508","Palmela","4","2019","3661","Total"
"1701510","Seixal","4","2019","125","Total"
"1701511","Sesimbra","4","2019","401","Total"
"1701512","Setúbal","4","2019","523","Total"
"1810211","Odemira","4","2019","3068","Total"
"1811501","Alcácer do Sal","4","2019","1086","Total"
"1811505","Grândola","4","2019","1193","Total"
"1811509","Santiago do Cacém","4","2019","2130","Total"
"1811513","Sines","4","2019","326","Total"
"1840201","Aljustrel","4","2019","816","Total"
"1840202","Almodôvar","4","2019","1481","Total"
"1840203","Alvito","4","2019","498","Total"
"1840204","Barrancos","4","2019","405","Total"
"1840205","Beja","4","2019","2165","Total"
"1840206","Castro Verde","4","2019","840","Total"
"1840207","Cuba","4","2019","681","Total"
"1840208","Ferreira do Alentejo","4","2019","1177","Total"
"1840209","Mértola","4","2019","1760","Total"
"1840210","Moura","4","2019","3402","Total"
"1840212","Ourique","4","2019","1181","Total"
"1840213","Serpa","4","2019","3735","Total"
"1840214","Vidigueira","4","2019","1060","Total"
"1851103","Azambuja","4","2019","1332","Total"
"1851403","Almeirim","4","2019","1677","Total"
"1851404","Alpiarça","4","2019","639","Total"
"1851405","Benavente","4","2019","645","Total"
"1851406","Cartaxo","4","2019","932","Total"
"1851407","Chamusca","4","2019","757","Total"
"1851409","Coruche","4","2019","1768","Total"
"1851412","Golegã","4","2019","347","Total"
"1851414","Rio Maior","4","2019","1975","Total"
"1851415","Salvaterra de Magos","4","2019","900","Total"
"1851416","Santarém","4","2019","5733","Total"
"1861201","Alter do Chão","4","2019","481","Total"
"1861202","Arronches","4","2019","614","Total"
"1861203","Avis","4","2019","733","Total"
"1861204","Campo Maior","4","2019","986","Total"
"1861205","Castelo de Vide","4","2019","473","Total"
"1861206","Crato","4","2019","712","Total"
"1861207","Elvas","4","2019","1351","Total"
"1861208","Fronteira","4","2019","533","Total"
"1861209","Gavião","4","2019","844","Total"
"1861210","Marvão","4","2019","995","Total"
"1861211","Monforte","4","2019","408","Total"
"1861212","Nisa","4","2019","2085","Total"
"1861213","Ponte de Sor","4","2019","2358","Total"
"1861214","Portalegre","4","2019","2361","Total"
"1861215","Sousel","4","2019","843","Total"
"1870701","Alandroal","4","2019","1738","Total"
"1870702","Arraiolos","4","2019","703","Total"
"1870703","Borba","4","2019","1019","Total"
"1870704","Estremoz","4","2019","1930","Total"
"1870705","Évora","4","2019","2115","Total"
"1870706","Montemor-o-Novo","4","2019","1743","Total"
"1870707","Mora","4","2019","504","Total"
"1870708","Mourão","4","2019","798","Total"
"1870709","Portel","4","2019","1333","Total"
"1870710","Redondo","4","2019","1249","Total"
"1870711","Reguengos de Monsaraz","4","2019","1688","Total"
"1870712","Vendas Novas","4","2019","294","Total"
"1870713","Viana do Alentejo","4","2019","656","Total"
"1870714","Vila Viçosa","4","2019","500","Total"
"2004101","Vila do Porto","4","2019","807","Total"
"2004201","Lagoa","4","2019","1006","Total"
"2004202","Nordeste","4","2019","1034","Total"
"2004203","Ponta Delgada","4","2019","5216","Total"
"2004204","Povoação","4","2019","594","Total"
"2004205","Ribeira Grande","4","2019","2990","Total"
