"NutsID","region_name","NUTS_level","pc.year","pc.area","pcn.crop_name"
"1111601","Arcos de Valdevez","4","2019","613","Total"
"1111601","Arcos de Valdevez","4","2019","27","Fresh fruit plantations (excluding citrus plantations)"
"1111601","Arcos de Valdevez","4","2019","5","Citrus plantations"
"1111601","Arcos de Valdevez","4","2019","3","Fruit plantations (subtropical climate zones)"
"1111601","Arcos de Valdevez","4","2019","90","Nuts plantations"
"1111601","Arcos de Valdevez","4","2019","11","Olive plantations"
"1111601","Arcos de Valdevez","4","2019","475","Vineyards"
"1111601","Arcos de Valdevez","4","2019","2","Other permanent crops"
"1111602","Caminha","4","2019","73","Total"
"1111602","Caminha","4","2019","6","Fresh fruit plantations (excluding citrus plantations)"
"1111602","Caminha","4","2019","2","Citrus plantations"
"1111602","Caminha","4","2019","0","Fruit plantations (subtropical climate zones)"
"1111602","Caminha","4","2019","27","Nuts plantations"
"1111602","Caminha","4","2019","7","Olive plantations"
"1111602","Caminha","4","2019","31","Vineyards"
"1111602","Caminha","4","2019","0","Other permanent crops"
"1111603","Melgaço","4","2019","719","Total"
"1111603","Melgaço","4","2019","7","Fresh fruit plantations (excluding citrus plantations)"
"1111603","Melgaço","4","2019","1","Citrus plantations"
"1111603","Melgaço","4","2019","0","Fruit plantations (subtropical climate zones)"
"1111603","Melgaço","4","2019","6","Nuts plantations"
"1111603","Melgaço","4","2019","0","Olive plantations"
"1111603","Melgaço","4","2019","705","Vineyards"
"1111603","Melgaço","4","2019","0","Other permanent crops"
"1111604","Monção","4","2019","1725","Total"
"1111604","Monção","4","2019","34","Fresh fruit plantations (excluding citrus plantations)"
"1111604","Monção","4","2019","5","Citrus plantations"
"1111604","Monção","4","2019","2","Fruit plantations (subtropical climate zones)"
"1111604","Monção","4","2019","5","Nuts plantations"
"1111604","Monção","4","2019","1","Olive plantations"
"1111604","Monção","4","2019","1678","Vineyards"
"1111604","Monção","4","2019","0","Other permanent crops"
"1111605","Paredes de Coura","4","2019","76","Total"
"1111605","Paredes de Coura","4","2019","14","Fresh fruit plantations (excluding citrus plantations)"
"1111605","Paredes de Coura","4","2019","1","Citrus plantations"
"1111605","Paredes de Coura","4","2019","2","Fruit plantations (subtropical climate zones)"
"1111605","Paredes de Coura","4","2019","10","Nuts plantations"
"1111605","Paredes de Coura","4","2019","0","Olive plantations"
"1111605","Paredes de Coura","4","2019","15","Vineyards"
