"NutsID","region_name","NUTS_level","tc.year","tc.area","tc.hold","tcn.crop_name"
"16G1803","Castro Daire","4","2019","6","24","Fresh vegetables"
"16G1803","Castro Daire","4","2019","0","1","Flowers and ornamental plants"
"16G1803","Castro Daire","4","2019","0","3","Other temporary crops"
"16G1806","Mangualde","4","2019","1576","793","Total"
"16G1806","Mangualde","4","2019","199","359","Cereals"
"16G1806","Mangualde","4","2019","22","125","Dried pulses"
"16G1806","Mangualde","4","2019","61","27","Temporary grasses and grazings"
"16G1806","Mangualde","4","2019","1216","312","Fodder plants"
"16G1806","Mangualde","4","2019","65","405","Potatoes"
"16G1806","Mangualde","4","2019","0","0","Sugarbeets"
"16G1806","Mangualde","4","2019","0","3","Industrial crops"
"16G1806","Mangualde","4","2019","12","20","Fresh vegetables"
"16G1806","Mangualde","4","2019","1","3","Flowers and ornamental plants"
"16G1806","Mangualde","4","2019","0","1","Other temporary crops"
"16G1809","Nelas","4","2019","599","196","Total"
"16G1809","Nelas","4","2019","45","66","Cereals"
"16G1809","Nelas","4","2019","6","22","Dried pulses"
"16G1809","Nelas","4","2019","62","33","Temporary grasses and grazings"
"16G1809","Nelas","4","2019","472","117","Fodder plants"
"16G1809","Nelas","4","2019","9","36","Potatoes"
"16G1809","Nelas","4","2019","0","0","Sugarbeets"
"16G1809","Nelas","4","2019","0","2","Industrial crops"
"16G1809","Nelas","4","2019","1","6","Fresh vegetables"
"16G1809","Nelas","4","2019","2","3","Flowers and ornamental plants"
"16G1809","Nelas","4","2019","0","1","Other temporary crops"
"16G1810","Oliveira de Frades","4","2019","655","486","Total"
"16G1810","Oliveira de Frades","4","2019","284","427","Cereals"
"16G1810","Oliveira de Frades","4","2019","8","56","Dried pulses"
"16G1810","Oliveira de Frades","4","2019","118","159","Temporary grasses and grazings"
"16G1810","Oliveira de Frades","4","2019","241","324","Fodder plants"
"16G1810","Oliveira de Frades","4","2019","3","30","Potatoes"
"16G1810","Oliveira de Frades","4","2019","0","0","Sugarbeets"
"16G1810","Oliveira de Frades","4","2019","0","0","Industrial crops"
"16G1810","Oliveira de Frades","4","2019","0","1","Fresh vegetables"
"16G1810","Oliveira de Frades","4","2019","0","0","Flowers and ornamental plants"
"16G1810","Oliveira de Frades","4","2019","0","0","Other temporary crops"
"16G1811","Penalva do Castelo","4","2019","475","572","Total"
"16G1811","Penalva do Castelo","4","2019","131","350","Cereals"
"16G1811","Penalva do Castelo","4","2019","28","261","Dried pulses"
"16G1811","Penalva do Castelo","4","2019","36","29","Temporary grasses and grazings"
"16G1811","Penalva do Castelo","4","2019","215","160","Fodder plants"
"16G1811","Penalva do Castelo","4","2019","50","399","Potatoes"
"16G1811","Penalva do Castelo","4","2019","0","0","Sugarbeets"
"16G1811","Penalva do Castelo","4","2019","0","2","Industrial crops"
"16G1811","Penalva do Castelo","4","2019","11","81","Fresh vegetables"
"16G1811","Penalva do Castelo","4","2019","0","1","Flowers and ornamental plants"
"16G1811","Penalva do Castelo","4","2019","4","20","Other temporary crops"
"16G1814","Santa Comba Dão","4","2019","373","217","Total"
"16G1814","Santa Comba Dão","4","2019","114","130","Cereals"
"16G1814","Santa Comba Dão","4","2019","8","42","Dried pulses"
"16G1814","Santa Comba Dão","4","2019","15","17","Temporary grasses and grazings"
"16G1814","Santa Comba Dão","4","2019","224","130","Fodder plants"
"16G1814","Santa Comba Dão","4","2019","9","55","Potatoes"
"16G1814","Santa Comba Dão","4","2019","0","0","Sugarbeets"
"16G1814","Santa Comba Dão","4","2019","0","0","Industrial crops"
"16G1814","Santa Comba Dão","4","2019","3","9","Fresh vegetables"
"16G1814","Santa Comba Dão","4","2019","0","0","Flowers and ornamental plants"
"16G1814","Santa Comba Dão","4","2019","1","1","Other temporary crops"
"16G1816","São Pedro do Sul","4","2019","1473","1102","Total"
"16G1816","São Pedro do Sul","4","2019","456","843","Cereals"
"16G1816","São Pedro do Sul","4","2019","39","266","Dried pulses"
"16G1816","São Pedro do Sul","4","2019","527","587","Temporary grasses and grazings"
"16G1816","São Pedro do Sul","4","2019","347","457","Fodder plants"
"16G1816","São Pedro do Sul","4","2019","45","335","Potatoes"
"16G1816","São Pedro do Sul","4","2019","0","0","Sugarbeets"
"16G1816","São Pedro do Sul","4","2019","5","5","Industrial crops"
"16G1816","São Pedro do Sul","4","2019","53","109","Fresh vegetables"
"16G1816","São Pedro do Sul","4","2019","1","3","Flowers and ornamental plants"
"16G1816","São Pedro do Sul","4","2019","1","5","Other temporary crops"
"16G1817","Sátão","4","2019","834","706","Total"
"16G1817","Sátão","4","2019","434","604","Cereals"
"16G1817","Sátão","4","2019","17","128","Dried pulses"
"16G1817","Sátão","4","2019","21","24","Temporary grasses and grazings"
"16G1817","Sátão","4","2019","317","183","Fodder plants"
"16G1817","Sátão","4","2019","31","203","Potatoes"
"16G1817","Sátão","4","2019","0","0","Sugarbeets"
"16G1817","Sátão","4","2019","0","2","Industrial crops"
"16G1817","Sátão","4","2019","13","43","Fresh vegetables"
"16G1817","Sátão","4","2019","0","1","Flowers and ornamental plants"
"16G1817","Sátão","4","2019","1","5","Other temporary crops"
"16G1821","Tondela","4","2019","1322","981","Total"
"16G1821","Tondela","4","2019","224","635","Cereals"
"16G1821","Tondela","4","2019","45","256","Dried pulses"
"16G1821","Tondela","4","2019","221","222","Temporary grasses and grazings"
"16G1821","Tondela","4","2019","755","609","Fodder plants"
"16G1821","Tondela","4","2019","60","586","Potatoes"
"16G1821","Tondela","4","2019","0","0","Sugarbeets"
"16G1821","Tondela","4","2019","2","4","Industrial crops"
"16G1821","Tondela","4","2019","7","29","Fresh vegetables"
"16G1821","Tondela","4","2019","6","2","Flowers and ornamental plants"
